Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Title or keywords related to the innovative policy, practice, program, or outcome","A brief description of the innovative policy, practice, program, or outcome",A brief description of any positive measurable outcomes associated with the innovation (if not ...,Provide affirmation that the following statements are true:,"The innovation describes a new, extraordinary, unique, ground-breaking, or uncommon outcome, ...","This innovation (program, policy, or outcome) is not already covered by an existing STARS credit or ...","The innovative practice, policy, program, or outcome has occurred within the past three years","The institution has not previously received a STARS innovation credit for this specific practice, ...",A letter of affirmation from an individual with relevant expertise,Which of the following STARS subcategories does the innovation most closely relate to? (Select all ...,Does the innovation relate to Curriculum?,Does the innovation relate to Research?,Does the innovation relate to Campus Engagement?,Does the innovation relate to Public Engagement?,Does the innovation relate to Air & Climate?,Does the innovation relate to Buildings?,Does the innovation relate to Dining Services?,Does the innovation relate to Energy?,Does the innovation relate to Grounds?,Does the innovation relate to Purchasing?,Does the innovation relate to Transportation?,Does the innovation relate to Waste?,Does the innovation relate to Water?,"Does the innovation relate to Coordination, Planning & Governance?",Does the innovation relate to Diversity & Affordability?,"Does the innovation relate to Health, Wellbeing & Work?",Does the innovation relate to Investment?,Other topic(s) that the innovation relates to that are not listed above,The website URL where information about the innovation is available,Public Notes
Syracuse University,2016-03-25,2016-03-25 15:34:03,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:19,kathleen.grady@temple.edu,2.0,Pursuing,Cooperatively run food cafe,"In January 2015, a team of interdisciplinary students opened Rad Dish, a student run and member owned food co-op cafe on campus. The cafe is run based on a cooperative style of governance, with members making the decisions related to cafe operations, policies, sourcing, governance, sustainability and social justice. Members have adopted and implemented a triple bottom line approach to this cafe, sourcing from local, organic and fair trade purveyors. In accordance with its triple bottom line approach, the Rad Dish models sustainability principles, serving only vegetarian and vegan fare, composting, using all compostable serviceware, recycling, minimizing waste and purchasing 100% green power. Members meet weekly to discuss issues, and have committees to explore new processes. Rad Dish holds an election each year to elect committee heads. The membership of the co-op is made of students that cross the university's various schools, colleges, majors and disciplines. The membership also includes staff and faculty that have purchased memberships. ","The following are benefits of the food co-op cafe:

- Exposing students in every school or college to the concept of a co-operative business model.
- 80 MWh of wind power purchased for the cafe
- 81 equity members in the co-op
- Over $7,267.17 purchased from local businesses
- Over 15 people participated in the CSA drop off point at Rad Dish, Temple's first and only CSA drop spot
-Attended 7 classes to give talk about cooperative business model
- Hosted 3 interns
- Over 10 students took an independent study of cooperative business practices as a basis for developing Rad Dish's governance structure 
",**,True,True,True,True,http://stars.aashe.org/media/secure/711/6/584/3278/Rad%20Dish%20innovation%20letter%20Yahya.pdf,**,True,--,True,--,--,--,True,--,--,True,--,--,--,True,--,--,--,--,https://templeraddish.wordpress.com/,--
Texas A&M University,2016-01-15,2016-01-15 14:24:59,kwellman@tamu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Texas Tech University,2016-03-25,2016-03-25 15:48:00,carey.hewett@ttu.edu,2.0,Pursuing,Suddenlink Electronic Recycling,Texas Tech University Sustainability and Warehouse Operations partnered with Suddenlink Communications to begin recycling their obsolete electronics.,Suddenlink no longer has to pay for their disposal and all rebates collected by Texas Tech University Sustainability and Warehouse Operations goes into the general scholarship fund.,**,True,True,True,True,http://stars.aashe.org/media/secure/431/6/584/3278/Letter%20of%20Affirmation%20-%20Suddenlink.docx,**,--,--,True,True,--,--,--,--,--,--,--,True,--,--,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:46:59,dial.15@osu.edu,2.0,Pursuing,Mirror Lake Well Feed ,"In the nearly 150 years that Mirror Lake has flowed through Ohio State’s campus, it has evolved (naturally and through man-made efforts) from a tiny natural spring, to a stream, to a lake paved in stone.  After the spring that fed the lake dried up, the lake was filled by potable water.  

During the process of regular maintenance, it was determined that leaks in the structure and deterioration of the walls have led to continuing water loss. Due to the leaks, the lake had been drawing nearly 20 million gallons annually from the Columbus public water system.

As part of the university’s ongoing, comprehensive work to address sustainability across campus, the President and Provost’s Council on Sustainability endorsed the Mirror Lake Enhancement Study and secured funding from the University Sustainability Fund to initiate the study in 2013.  Faculty, staff, and students were involved in the design process to determine the methods to maintain the lake’s iconic status both aesthetically and culturally, best strategies to supply water that aligns with the university sustainability goals, and methods to improve maintenance and operational needs.
","The results of the study were completed and by late 2014 Mirror Lake’s feed source switched from domestic water to well water, reducing the amount of potable water being used by over 97%, saving the university over $45,000 a year while preserving the unique character of Mirror Lake. ",**,True,True,True,True,http://stars.aashe.org/media/secure/630/6/584/3278/letter%20of%20affirmation%20-%20Mirror%20Lake.pdf,**,--,True,--,--,--,--,--,--,--,--,--,--,True,--,--,--,--,--,--,--
Tufts University,2016-02-25,2016-02-25 15:40:33,tina.woolston@tufts.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tulane University,2016-02-04,2016-02-04 11:04:03,ldavey@tulane.edu,2.0,Pursuing,Tulane City Center,"The Tulane City Center houses the Tulane School of Architecture's applied urban research and outreach programs. Tulane City Center works with community groups throughout New Orleans to address difficult problems with good design.
Initiatives of the Tulane City Center share a focus on improving cities--particularly New Orleans. The project sites range in scale from small installations to neighborhood scale planning. The work is grounded in the values and culture of the community partners in dialogue with current environmental sensibilities and innovative design strategies. Beyond deep citizen engagement, an important aspect of the work is to ensure that the research results in a constructed design and/or advocacy and education.

Each project operates within one of five categories of work:

1. Architecture - The projects in this category address specific sites and structures. The built work in and around New Orleans seeks to bring high quality design to diverse environments while fostering a strong sense of community. Recent projects range in scale from small pavilions to designs for cultural centers. 

2. Design Build - Tulane School of Architecture's Engage-Design-Build program is a design studio offered every semester in which students design and build a full-scale, affordable, and sustainable project. Community partners are able to see small projects realized and students are given an opportunity to shepherd a project from design to completion. Projects have ranged from interior build-outs to a seven-acre farm. 

3. Planning - These are projects larger than one single building or site and address neighborhood or city-wide issues. Through good planning, Tulane City Center wants to ensure that the city's future is addressed with innovative means of public participation, research, education and critical thinking; building a healthier, more inclusive New Orleans. 

4. Graphic Advocacy - Community partners' projects benefit from advocacy through graphic design. Through visually compelling messages, Tulane City Center aims to communicate the spirit and goals of the community partners that reflect a shared commitment to promoting a just and equitable society.

5. Capacity Building - Tulane City Center aims to increase the capacity and effectiveness of individuals, non-profits and community groups through collaboration and design. Building organizational capacity is an investment in the future sustainability of a non-profit.

An editorial describing the Tulane City Center's contributions to New Orleans post-Katrina can be viewed at http://architecture.tulane.edu/news/2015/05/article-1389
",Tulane City Center has over 80 projects spread across the city of New Orleans and outlying areas.,**,True,True,True,True,http://stars.aashe.org/media/uploads/test_cases/IN3_STARS_Innovation_TCC_KS.pdf,**,True,True,--,True,--,True,--,--,--,--,--,--,--,True,--,--,--,--,http://www.tulanecitycenter.org/,--
Unity College,2016-03-25,2016-03-25 15:25:12,JdeHart@unity.edu,2.0,Pursuing,#EarthToParis Campaign on campus,"Unity College students, faculty, and staff joined together to send a message to the 2015 Conference of Parties (COP21), also known as the 2015 Paris Climate Conference. Student leaders arranged several listening events across campus over the course of a week in order to gather voices and images for a video for the #EarthToParis campaign. This effort gave student valuable experience in communications for sustainability.","Partly as a result of the efforts of groups across the world, like our students, the COP21 outcomes were the strongest accord agreements yet to emerge from climate talks. ",**,True,True,True,True,http://stars.aashe.org/media/secure/98/6/584/3278/IN-3%20EarthToParis_SustainabilityOffice_JTS.pdf,**,--,--,True,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,https://vimeo.com/146520158,--
University at Albany,2016-02-23,2016-02-23 17:54:18,mmallia@albany.edu,2.0,Pursuing,Farm to SUNY Project ,"Four State University of New York campuses launched a project to procure more locally grown vegetables under a pilot project called Farm to SUNY. The goal of the Farm to SUNY initiative is to increase the procurement of fresh and minimally-processed New York-grown produce (e.g., potatoes, lettuce, leafy greens, tomatoes, squash, cabbage, and green beans) by SUNY campuses at a competitive price that provides a sustainable profit margin for farmers. It also includes an educational campaign to increase awareness among campus faculty, staff, and students on the benefits of purchasing locally grown meat, fruits, and vegetables. Farm to SUNY is funded by a $100,000 two-year grant through the American Farm Trust's Farm To Institution NYS Initiative (FINYS), a statewide partnership of agricultural, public health, and economic development partners who have come together to strengthen the state's farm and food economy while improving the health of its citizens.","- The creation of an educational campaign called ""Harvest of the Month,"" in which a minimally-processed items is highlighted in the dining halls for that month. 
- Two annual educational celebrations were established, including ""National Kale Day"" on October 7th and Day of the Mushroom on April 16th. Peer educators hold educational programs to help students understand the health benefits of each particular food and how much of the item we purchase locally. 
- In 2014, University at Albany led the committee to start ""Campus Crunch"" to celebrate National Food Day in late October. On that day, students from campuses across New York take celebratory bites into New York State Apples to affirm their commitment to increasing local food and increasing awareness of the campaign. At the second annual Campus Crunch in 2015, over 20 colleges and universities and over 6,000 faculty, staff and students took the crunch.
- Two permanent student intern Sustainability Council positions were created to focus on Food and Dining. Each intern devotes an average of 2 hours a week to sustain and assess established peer education programs. ",**,True,True,True,True,http://stars.aashe.org/media/secure/362/6/584/3278/FINYS%20UatA%20LOS%20AASHE.pdf,**,--,--,True,True,--,--,True,--,--,--,--,--,--,--,--,--,--,--,http://finys.org/our-projects/farm-suny,--
University at Buffalo,2016-01-19,2016-01-19 10:15:54,jlk47@buffalo.edu,2.0,Pursuing,Transit Focus at new School of Medicine,"The downtown medical school is being constructed on top of a new Allen/Hospital Metro station, a detail that accentuates community connections and promotes sustainable transportation options, which will help the building’s targeted LEED gold designation.
The transit station and the building’s connecting bridges to hospitals and other health care facilities will make navigating the medical school to and from the Buffalo Niagagra Medical Campus (BNMC) partner institutions more convenient and efficient. These physical connections will underscore the powerful programmatic connections in clinical education, patient care and research that will be tremendously strengthened as a result of the medical school’s new location on the BNMC.
","The completion of the incorporated transit stop is the initial measurable outcome of the innovation action. As the Buffalo Niagara Medical Campus ramps up to full employment capacity in 2016 and 2017, mass transit usage by employees and visitors will reduce the amount of vehicular traffic on the campus and in the City of Buffalo. We look forward to surveying faculty, staff, and visitors at the SMBS about their ridership.",**,True,True,True,True,http://stars.aashe.org/media/secure/409/6/584/3278/GBNRTC%20-%20UB%20AASHE%20Support%20Ltr.PDF,**,--,--,--,True,True,True,--,--,--,--,True,--,--,True,--,--,--,--,http://www.buffalo.edu/news/releases/2013/10/029.html,--
University of Arizona,2016-03-25,2016-03-25 15:32:09,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Submission updated: March 2016
University of British Columbia,2016-02-22,2016-02-22 18:18:40,charlene.ponto@ubc.ca,2.0,Pursuing,The Centre for Sustainable Food Systems at UBC Farm,"The Centre for Sustainable Food Systems at UBC Farm aims to understand and fundamentally transform local and global food systems towards a more sustainable, food secure future. Through a wide range of interdisciplinary learning, research, food production, and community engagement programs, the Centre acts as a living laboratory committed to finding solutions to food system sustainability challenges and translating these solutions to improve personal, community, and environmental health. 

The 24-hectare Centre provides a globally unique research and teaching platform where social, economic, and environmental interventions can be designed, tested, and monitored within a living food system. Faculty and student research and teaching opportunities span the whole seed-to-plate continuum while integrating a multitude of disciplines, sectors, and partnerships. Research conducted at the Centre focuses on developing and testing new technologies to achieve sustainable food systems; transforming society’s relationship with the land; and enhancing value chain innovation from seed to plate to achieve greater health and value of our food. 

The Centre also embodies the concept of campus as an agent of social change, where learners of all ages can immerse themselves in the stewardship of a working, productive landscape. The Centre offers a diverse range of education and public engagement programs for children, indigenous people, prospective farmers, and the community. Through its farm production, on-site farmers markets, and institutional farm-to-campus programs, the Centre demonstrates and advances sustainable food systems both on campus and beyond.

The integration of these food production, community engagement, and research and teaching activities provides a rare platform where food sustainability policies and practices are assessed, designed, and implemented. The Centre is a globally significant prototyping site for exportable solutions relevant to industry, farmers and communities worldwide.","The Centre for Sustainable Food Systems at UBC Farm integrates interdisciplinary academic, community, and production programs to explore and exemplify healthy and sustainable food systems, engaging 60,000 students, staff, faculty, volunteers, community members and visitors each year. Outcomes include the following:

•	More than 3,000 students, through 60 courses, across 10 different UBC Faculties and Schools collaborate with the Centre on curricular activities ranging from community service learning, SEEDS Sustainability program applied campus research projects, immersive internships and on-site lectures. http://ubcfarm.ubc.ca/research-teaching/
•	12 active research programs in collaboration with academic, industry and community partners on issues ranging from agricultural climate change adaptation, honey bee collapse disorder causes and solutions, culturally relevant land-based urban Aboriginal wellness programs, to seed saving research and crop development. http://ubcfarm.ubc.ca/research-teaching/research/
•	Online Project Library provides access to decades of publications, reports, posters, and related materials from research conducted at the Centre. http://ubcfarm.ubc.ca/research-teaching/library/
•	The Farm’s sustainably cultivated fields grow over 200 varieties of fruits, vegetables, and herbs, yielding 60,000 pounds of food per year, sold at 3 farmers markets and over a dozen on-campus and off-campus dining establishments. http://ubcfarm.ubc.ca/food-production/
•	100-member Community Supported Agriculture (CSA) program supplies campus and community members with a weekly box of fresh produce grown locally with organic methods from the UBC Farm. http://ubcfarm.ubc.ca/food-production/csa/
•	3 Children’s environmental education programs, including FarmWonders, a community education initiative committed to promoting environmental awareness through science-based farm learning, and the Intergenerational Landed Learning Project, a collaboration with the Faculty of Education, now in its 13th year, which brings elementary school classes and their teachers to the farm throughout one full academic year for an immersive experience, guided by farm staff, educators, and elders from the community. http://ubcfarm.ubc.ca/community/childrens-programs/
•	4 food and health Indigenous initiatives, including the Musqueam Garden, Maya in Exile Garden, Tu’wusht Project, and Indigenous Health Research and Education Garden. In 2013 alone, these initiatives brought over 4,500 visits to the Farm and engaged more than 300 UBC students through class visits, group projects, graduate research, and directed studies. http://ubcfarm.ubc.ca/community/indigenous-initiatives/
•	Practicum in Sustainable Agriculture 8-month experiential learning program educates aspiring farmers, urban gardeners, environmental educators, and students with an interest in applying their learning about sustainable agriculture and food systems. http://ubcfarm.ubc.ca/community/practicum-in-sustainable-agriculture/
•	The Centre’s Farm-to-Institution Program develops lessons and dissemination material that equip growers, suppliers, and institutions to initiate farm-to-institution partnerships, thereby directly helping the development of policies and practices to increase local, sustainable food procurement. http://ubcfarm.ubc.ca/tag/farm-to-institution/
•	Farm-to-Healthcare local food procurement project engages multiple stakeholders to develop a model to bring local, sustainable, healthy food to UBC Hospital patients, a first of its kind in BC. http://ubcfarm.ubc.ca/tag/farm-to-hospital/

For a full list of initiatives and programs, please refer to the Centre for Sustainable Food Systems website at: http://ubcfarm.ubc.ca/.
",**,True,True,True,True,http://stars.aashe.org/media/secure/29/6/584/3278/STARSInnovationLetters_CSFS.pdf,**,True,True,True,True,--,--,--,--,True,--,--,--,--,--,--,--,--,"Food, Dining Services, Farm",http://ubcfarm.ubc.ca/,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:24,lmcneilly@berkeley.edu,2.0,Pursuing,Green Department Certification Grand Slam,"The Green Department Certification Grand Slam program meets the reporting standard for Innovation credits. 

The Green Department Certification Grand Slam builds on the existing program, but uses an innnovative approach to try to double participation.  There is evidence that the amount of work needed to complete the checklist and the lack of student assistance has limited how many and how quickly departments can participate.  It is also possible that the open-ended nature of the certifications – with no deadlines or set timeframes – has meant that some department green teams have lost focus.  In order to directly address both of these constraints, this year the Office of Sustainability implemented a new process of certification that included student liaisons between campus departments and the Office of Sustainability and also set an end of the year deadline for a department to be certified.  The establishment of Green Teams with students, faculty, and staff has provided a unique opportunity for collaboration within the campus and has increased awareness and understanding of sustainability issues.

Students are taking the lead on helping 10 departments succeed in getting certified under a new and more challenging set of criteria.

",,**,True,True,True,True,http://stars.aashe.org/media/secure/443/6/584/3278/Letter%20of%20Affirmation%20McNeilly%202016.pdf,**,--,--,True,True,--,True,--,True,--,True,--,--,--,--,--,--,--,student service learning,http://sustainability.berkeley.edu/engage/green-certifications,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:35,cmkirk@ucdavis.edu,2.0,Pursuing,Platinum Bicycle-Friendly University & Business,"In 2013 UC Davis was awarded the highest (“Platinum”) level award by the League of American Bicyclists (LAB) as a Bicycle Friendly Business and a Bicycle Friendly University. 

We are one of only nine businesses nationwide and the first college or university to receive Platinum recognition as a business. Perhaps most staff, faculty and students don’t think of the University as a “business,” but we have thousands of employees and we provide a wide range of services, usually for a fee, to a broad constituency. 

There are only two Platinum level Bicycle Friendly Universities in the United States. Over the last five years we have spent almost eight million dollars on direct or ancillary infrastructure improvements for our campus bicyclists. We have a variety of programs which helped us earn our Platinum status, including:
Bicycle Education and Enforcement Program (“BEEP”),a bicycle traffic school that substitutes a custom-built, online diversion program offering bicycle traffic violators a significant dollar savings over current traffic fines. The program is easily accessible online and over 2200 individuals have used the program.

The goClub, an alternative transportation program which provides benefits and incentives to commuters who forego the purchase of a single vehicle parking permit in favor of using sustainable transportation. Bicycle commuters enrolled in the goClub qualify for complimentary “rainy day” parking permits, discounted 10-ride bus passes, access to an emergency ride home program, access to lockers and showers, and discounted bicycle locker rentals. Bicycle commuters account for the largest portion of goClub members, with 2,740 participants. Levels of participation have grown rapidly over the past three years from 1,536 in April 2011 (nearly 80% growth) demonstrating a growing trend towards bicycle commuting.",,**,True,True,True,True,http://stars.aashe.org/media/secure/551/6/584/3278/Innovation_Credit_3_UC_Davis_Bicycle_Friendly_Platinum.pdf,**,--,--,--,--,--,--,--,--,--,--,True,--,--,--,--,--,--,--,http://dateline.ucdavis.edu/dl_detail.lasso?id=14454,Additional URL for the Bicycle Friendly University award: http://dateline.ucdavis.edu/dl_detail.lasso?id=14646
"University of California, Irvine",2016-03-23,2016-03-23 10:32:51,khaq@uci.edu,2.0,Pursuing,Student Housing Sustainability Bulletin Board Toolkits,"UCI Hospitality & Dining designs and provides printable flyers and a pre-made bulletin board layout on a monthly basis for all Resident Advisors, study and wellness center staff and office staff to use in the campus's four on-campus residence communities, which together house more than 5,000 residents. This increases awareness of the campus's sustainability efforts and educational events on campus and reduces the need for each RA or other staff member to independently create materials each month. UCI has 95 residence halls as well as several housing offices and study and wellness centers that feature bulletin boards. The bulletin board toolkit highlights events and information about initiatives around sustainable dining, water and energy conservation, healthy eating, and waste minimization.","This program reduces workload among student housing staff (from 95 halls each needing to develop bulletin boards to 1 distributed bulletin board kit) and also increases awareness of sustainability initiatives and events among students. Attendance between part 1 and part 2 of the 2015-2016 Sustainable Food-Systems Speaker Series grew 50%. The first event was held shortly after the bulletin board program launched, while the second event was held after the program had been implemented for three and a half months and materials were featured through the bulletin boards highlighting the second event for a full month. Likewise, participation in competition events featured on the bulletin boards, such as the Anteaters Fight Hunger Food Drive was high, with more than 631 pounds of food donated over a 3-week period.",**,True,True,True,True,http://stars.aashe.org/media/secure/446/6/584/3278/IN-3_UCI_Letter%20of%20Affirmation.pdf,**,--,--,True,--,--,--,True,--,--,--,--,True,True,--,--,True,--,--,https://aramarkhighereducation.box.com/s/1wojvn8gcpr1au5rwr7mhkrexpvmvu5h,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:24,sustainability@ucla.edu,2.0,Pursuing,School of Public Health - Stairwell Vertical Art Gallery,"Students in the School for Public Health developed a research project to identify ways to improve building users health by promoting using stairs over the elevator. The project resulted in renewing the stairwell with improved (and more efficient) lighting, as well as cleaning and painting surfaces. Artwork was also installed making a ""vertical art gallery"". Finally, full-door decals were installed on the elevator and stairwell doors to encourage usage. The project was envisioned, planned, and implemented by FSPH students including Tyler Watson (MPH ’13), Jimmy Tran, and Noelle Watanabe (MPH ’15), in collaboration with the Public Health Student Association, the FSPH Dean’s Office and UCLA’s Healthy Campus Initiative. All of the artwork in the Vertical Art Gallery is by artist Jane Gottlieb, who generously donated her work and time to the school.
The stairwell makeover project aims to increase stairwell use and will serve as a pilot for other buildings on campus.",,**,True,True,True,True,http://stars.aashe.org/media/secure/24/6/584/3278/Installed%20First%20UCLA%20Vertical%20Art%20Gallery%20_%20Jane%20Gottlieb%20_%20LinkedIn.pdf,**,--,True,True,--,--,True,--,True,--,--,--,--,--,--,--,True,--,--,http://ph.ucla.edu/news/news-item/2015/dec/fsph-s-2015-holiday-open-house-features-vibrant-new-stairwell-renovation,"A letter was not procured in time for the Sierra 2016 submission, but will be provided for the next full STARS update."
"University of California, Merced",2016-02-25,2016-02-25 16:56:25,cmccormick3@ucmerced.edu,2.0,Pursuing,UC Merced's Waste Sorting Line,"The waste sorting line at UC Merced is comprised of a team of sixteen students who collect recycle, compost, and landfill waste from all campus buildings excluding dining and housing facilities. 

Waste from each building is transported and separated into 15 categories. After separation, the recyclable materials are sold. Compostable materials are sent to a local compost facility. Non recyclable or compostable material is sent to the landfill. 

","The measurable outcome of the program included a waste diversion rate of 80% from the upper part of campus, which excludes dining and housing. ",**,True,True,True,True,http://stars.aashe.org/media/secure/102/6/584/3278/UC%20Merced%20Waste%20Sorting%20Line%20Affirmation%20Letter.pdf,**,--,--,--,--,--,--,--,--,--,--,--,--,True,--,--,--,--,--,http://recycle.ucmerced.edu/sorting_line,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:32,john.cook@ucr.edu,2.0,Pursuing,Solar Tables,"Thirteen of the environmentally-friendly solar tables have been installed around the campus. The solar benches at UCR provide students, faculty, and visitors a clean renewable source of energy to recharge their devices. The Highlander Union Building, Student Technology Fund, and Green Campus Action Plan helped fund for the solar powered units.","265 watt solar panel
each table supports 8, 120 volt outlets and 8 USB outlets ",**,True,True,True,True,http://stars.aashe.org/media/secure/385/6/584/3278/STARS%202.0%20Letter%20of%20Affirmation_UCR%20SOLAR%20Benches.pdf,**,--,True,True,True,True,--,--,True,--,--,--,--,--,--,--,--,--,--,http://ucrtoday.ucr.edu/21847,--
"University of California, San Diego",2016-03-24,2016-03-24 18:51:42,smckinstry@ucsd.edu,2.0,Pursuing,Reclaimed Water Pipeline Expansion and Central Plants Cooling Tower Retrofits,"The reclaimed water cooling tower retrofit projects at UCSD bring reclaimed water, supplied by the City of San Diego, to UCSD’s two main central utilities plants for use as make-up for cooling towers. Cooling towers are a major water consumer of potable water on campus. The projects ultimately reduce potable water consumption at the towers by 80%. It also enabled UCSD to install a new private 12"" reclaimed water pipeline on campus, which stretches nearly a mile. This pipeline will also be used to replace potable irrigation with reclaimed irrigation. 
   
UCSD has two main central utilities plants. The main Central Utilities Plant (CUP) is the larger of the two (30 MW cogeneration with 17,000 ton cooling capacity) and provides electricity, cooling, and heating for a large portion of the campus. The CUP is one of the major water consumers on campus, mostly due to the cooling towers. The East Campus Central Utilities Plant (ECUP) is smaller plant with 3,000 ton cooling. The ECUP reclaimed water retrofit project was completed in May 2015. The success of this project motivated UCSD to perform similar retrofits at the main CUP, where much more significant water saving was promised. The CUP reclaimed water retrofit is expected to be completed in February 2016. 

ECUP Reclaimed Water Cooling Tower Retrofit was completed in May 2015. ECUP has four cooling towers with an average make-up water demand of 27,500 gpd (30 AFY). The retrofit project brought reclaimed water from the City of San Diego’s recycled water distribution system to ECUP cooling towers to offset potable water make-up. The project required site piping upgrades, new controls, and chemical treatment system. Upon project completion, UCSD started with 20% reclaimed and 80% blend of reclaimed to potable make-up at the towers. Within a few months this ratio was increased to 80% reclaimed and 20% potable. Since August 2015, ECUP tower make-up has been kept at this ratio of reclaimed to potable. This has reduced potable demand by 80% at ECUP towers.

The CUP reclaimed water cooling tower retrofit project brings reclaimed water from UCSD north campus connection to the City of San Diego’s recycled water distribution system to feed the UCSD Central Utilities Plant (CUP) via a newly installed 12-inch private recycled water main that stretches near a mile on campus. The mainline distribution system installation was completed in summer of 2015. The CUP retrofit is expected to be complete by end of February 2016. The CUP contains seven existing cooling towers with an average make-up water demand of approximately 435,600 gpd (or 488 AFY). This project will provide reclaimed water to offset 200 AFY of potable water. The recycled water piping for the connection to the cooling towers are routed below grade into the CUP yard and will continue below grade to the new above grade meter, pressure regulating valve, and flow control assembly. The towers remained operational while the new piping were installed. The piping work was carried out in accordance with the procedures specified in the City of San Diego recycled water specifications.

In order to minimize construction impacts on campus during construction of the pipeline, the majority of the pipeline was constructed using horizontal directional drilling (HDD) method. Collaboration was a key to successful design and construction. During design stages, the engineering team worked closely with Facilities Management personnel including plant operators, managers, and the Grounds and Landscaping department to collect their requirements and feedback. As a University, UCSD values safety and the importance of operations on campus. During construction it was very important to coordinate with faculty, staff, the parking and transportation department, as well as building occupants to minimize impacts. Considering the footprint of the pipeline project, which was near 1 mile, the impact was minimal on campus operations. Various teams worked together closely to make this happen. The project team also worked closely with the City and County for plan approval as well as construction inspections. 

One of the specialties of the UCSD’s Environmental Health & Safety (EH&S) department is in training and outreach to the campus on reclaimed water use. EH&S enforced signage installation in places where reclaimed water is used. Additionally, central plant operators receive training on all aspects of reclaimed water. The Sustainability Office worked with University Communications, EHS and Facilities Management to communicate both on and off-campus about the reclaimed water project.","The cooling towers at UCSD Central Utilities Plant (CUP) account for about 25% of the total water consumption on campus. The cooling tower retrofit projects offset 80% of this potable demand, which results in approximately 20% reduction in total potable water consumption on campus. All told we will save an estimated 8 million gallons at the ECUP and anticipated 97 million gallons per year at the CUP. Reducing potable water demand and consumption is crucial to California. UCSD has committed to water reduction and efficiency projects over the past years. Assuming that the cost of reclaimed water is $3.50/HCF and potable water at $7/HCF, the ECUP reclaimed water cooling tower retrofit is estimated to save $38,000 annually and the CUP reclaimed water cooling tower retrofit $454,000 annually. 
",**,True,True,True,True,http://stars.aashe.org/media/secure/65/6/584/3278/Innovation%203%20-%20Microgrid%20-%20Affirmation%20Letter.PDF,**,--,--,--,True,--,True,--,True,--,--,--,--,True,--,--,--,--,--,http://ucsdnews.ucsd.edu/feature/making_every_drop_count_uc_san_diego_steps_up_water_conservation_efforts,--
