Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Has the institution adopted a framework for community stakeholder engagement in governance, ...",A brief description of the policies and procedures that ensure community stakeholder engagement is ...,"A brief description of how the institution identifies and engages community stakeholders, including ...",List of identified community stakeholders,A brief description of successful community stakeholder engagement outcomes from the previous three ...,The website URL where information about the institution’s community stakeholder engagement ...,Public Notes
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:03:05,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,"http://community.utpa.edu/disc/
http://community.utpa.edu/festiba
http://community.utpa.edu/hestec
http://community.utpa.edu/sbnrc
http://www.utpa.edu/bfrd
http://portal.utpa.edu/utpa_main/ce_home/red_home_2011/scioasdfr_home
http://portal.utpa.edu/utpa_main/ce_home/red_home_2011/trcc_home
http://portal.utpa.edu/utpa_main/ce_home/red_home_2011/forge_home
http://portal.utpa.edu/utpa_main/ce_home/red_home_2011/bfrd_home
http://portal.utpa.edu/utpa_main/ce_home/red_home_2011/icna_home
http://portal.utpa.edu/utpa_main/ce_home/red_home_2011/swtcoop_home
http://portal.utpa.edu/utpa_main/ce_home/red_home_2011/fmi_home
http://portal.utpa.edu/utpa_main/ce_home/red_home_2011/gfdm_home/gfdm_pc
http://portal.utpa.edu/utpa_main/ce_home/red_home_2011/hnmi_home
http://portal.utpa.edu/utpa_main/daa_home/coba_new_home/coba_faculty/faculty_centers/cbest_home"
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:41,mtare@uta.edu,2.0,Pursuing,True,"At UT Arlington, engaging with people and organizations
through dialogue, partnerships, and collaborations is at theheart of all we do. Our key stakeholder groups are those that
have the greatest likelihood of impacting, or being impacted by,
the University’s mission and operations: from the students who
choose UT Arlington to meet their educational and career goals
to the individuals and organizations that fund and support our
mission; from the businesses on which we rely for goods and
services to those who hire our graduates or utilize our services.
Certainly, we also include our neighbors, with whom we share
the resources of North Texas.
We engage with stakeholder groups on campus and
off, through a variety of ways. Methods of engagement on
campus range from formal to informal. Representative
governance bodies, discussed on page 8, bring the voices of
key constituencies into University decision making. Open
communication through town-hall meetings and other forums
encourages dialogue on key topics of concern to a range of
stakeholders. Surveys and online submission forms including
course evaluations and student satisfaction surveys that measure
our effectiveness in meeting student needs, provide a systematic
method to collect and analyze stakeholder feedback and identify
areas for improvement. Social media channels, such as Facebook,
Twitter, and YouTube, provide additional ways to connect.
Internal Stakeholder Groups
■ The University of Texas System
■ The UT System Board of Regents
■ Development Board
■ Advisory Boards
■ University administration
■ Faculty
■ Staff members
external Stakeholder Groups
■ State of Texas, including taxpayers and local, regional,
and federal governmental agencies
■ City of Arlington and other local and regional
governments
■ Current and prospective students, and their families
■ Alumni associations
■ Donors and funders
■ Key vendors and suppliers of goods and services
■ Non-governmental organizations, including those
representing the interests of the regional air and
watersheds, habitats, and wildlife
■ Partners and collaborators
■ Regional businesses
■ North Texas residents","At UT Arlington, engaging with people and organizations
through dialogue, partnerships, and collaborations is at theheart of all we do. Our key stakeholder groups are those that
have the greatest likelihood of impacting, or being impacted by,
the University’s mission and operations: from the students who
choose UT Arlington to meet their educational and career goals
to the individuals and organizations that fund and support our
mission; from the businesses on which we rely for goods and
services to those who hire our graduates or utilize our services.
Certainly, we also include our neighbors, with whom we share
the resources of North Texas.
We engage with stakeholder groups on campus and
off, through a variety of ways. Methods of engagement on
campus range from formal to informal. Representative
governance bodies, discussed on page 8, bring the voices of
key constituencies into University decision making. Open
communication through town-hall meetings and other forums
encourages dialogue on key topics of concern to a range of
stakeholders. Surveys and online submission forms including
course evaluations and student satisfaction surveys that measure
our effectiveness in meeting student needs, provide a systematic
method to collect and analyze stakeholder feedback and identify
areas for improvement. Social media channels, such as Facebook,
Twitter, and YouTube, provide additional ways to connect.
Internal Stakeholder Groups
■ The University of Texas System
■ The UT System Board of Regents
■ Development Board
■ Advisory Boards
■ University administration
■ Faculty
■ Staff members
external Stakeholder Groups
■ State of Texas, including taxpayers and local, regional,
and federal governmental agencies
■ City of Arlington and other local and regional
governments
■ Current and prospective students, and their families
■ Alumni associations
■ Donors and funders
■ Key vendors and suppliers of goods and services
■ Non-governmental organizations, including those
representing the interests of the regional air and
watersheds, habitats, and wildlife
■ Partners and collaborators
■ Regional businesses
■ North Texas residents","Internal Stakeholder Groups
■ The University of Texas System
■ The UT System Board of Regents
■ Development Board
■ Advisory Boards
■ University administration
■ Faculty
■ Staff members
external Stakeholder Groups
■ State of Texas, including taxpayers and local, regional,
and federal governmental agencies
■ City of Arlington and other local and regional
governments
■ Current and prospective students, and their families
■ Alumni associations
■ Donors and funders
■ Key vendors and suppliers of goods and services
■ Non-governmental organizations, including those
representing the interests of the regional air and
watersheds, habitats, and wildlife
■ Partners and collaborators
■ Regional businesses
■ North Texas residents","Stakeholder Feedback-  As part of the materiality assessment process undertaken for
UTA's GRI  report, a team of Sustainability Studies students, working
under the guidance of the Office of Sustainability and external
sustainability reporting consultants, conducted an anonymous
survey to identify and rank sustainability topics of the greatest
importance to a sample of key stakeholders. The team received
291 responses: 47 percent were internal stakeholders (faculty,
staff, and administration) and 53 percent were external
stakeholders (primarily students along with student families,
prospective students, government representatives, local
businesses, and self-described ‘others’).
Respondents were asked to rank a variety of economic,
environmental, and social topics. The top three issues for each
category, based on overall ranking score, are shown below. All of
these topics are covered in the report.
The stakeholder survey also captured comments, suggestions,
and observations from survey respondents—some positive, and
others not so positive. We have included a balanced sampling of
survey respondent comments throughout the report. In general,
the greatest areas of concern are the need for more public
transportation options, more recycling bins across campus,
and more communication about sustainability efforts. We are
working to improve these areas through a variety of efforts, all of
which are discussed in this report.",--,--
University of Texas at Austin,2016-03-21,2016-03-21 16:15:05,jim.walker@austin.utexas.edu,2.0,Pursuing,--,,,,,--,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:14,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:22:45,neil.tabor@utoledo.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Virginia,2015-12-11,2015-12-11 14:05:59,art2k@Virginia.edu,2.0,Pursuing,True,"The Planning and Coordination Council (PACC), consisting of representatives from the City of Charlottesville, the County of Albemarle, and the University of Virginia, is a 20+ year formal partnership between the University and its municipal neighbors on coordinating planning projects within the community. This Council has two sets of quarterly meetings with a technical meeting and a formal meeting with community members and elected leaders to coordinate and improve upon community participation. The meetings are open to and attended by the public-at-large for broader community involvement. The meeting agendas are developed based on community wide needs and allow for public discussion. ","In addition to the PACC noted above, in recent years, a number of community partnerships have emerged under the auspices of PACC, including the Local Energy Alliance Program (LEAP), the Local Climate Action Planning Process (LCAPP), and the Livable Communities Project (which also involves the Thomas Jefferson Planning District Commission). 
UVa has an Office of Community Relations which unites the University with its surrounding community through outreach efforts designed to provide accurate, timely information about U.Va.’s programs, services, news and developments. The office helps foster better understanding of the University's priorities while ensuring positive relations between the University and its neighbors, through regular meetings with all adjacent neighborhood associations. 
The University supports a large number of community support activities to give back to the community. The largest is the Commonwealth of Virginia Campaign (CVC) which is an annual campaign for faculty and staff to donate funds to a large number of self-identified charity organization throughout our community. This campaign yields ~1 million in funds to community organizations on a yearly basis. 
UVa has an Engagement team whose mission is to foster lifelong relationships with alumni, parents, families and friends that strengthen their relationship with the University of Virginia. To accomplish this mission, the team creates and supports over 1,300 events and programs each year in cities and communities around the globe that include both in-person and digital engagement opportunities. The Engagement team is comprised of 25 staff, six students and coordinates with over 1,000 volunteers that work together to create world class networks, learning and engagement through five programs: UVaClubs, Lifetime Learning, Alumni & Parent Travel and HoosNetwork (Digital Engagement).
UVa has an Institute for Environmental Negotiation (IEN) which has the distinction of being one of the first professional environmental conflict resolution services in the nation. IEN is an environmental dispute resolution organization whose expertise has been sought for local and statewide environmental disputes as well as national policy issues. IEN has gained international recognition as a leading environmental and public policy dispute resolution organization and has participated in more than 300 projects. IEN conducts about 60% of its work in Virginia, 20% in nearby states, and the rest is national in scope or performed in localities outside of the region. IEN attracts scholars from all over the world who are visiting or spending sabbaticals here, and IEN faculty serve on numerous local, state and national boards and programs.","UVa Neighborhood Associations
Planning and Coordination Council
Master Planning Council
City of Charlottesville Neighborhood Development Services
Albemarle County Community Development

","The Local Climate Action Planning Process (LCAPP), an 18-month process involving a Steering Committee of representatives of the City, County, and UVA, local business representatives and other interested parties, supported by a network of more than 50 subject matter experts, examined best practices to assess their appropriateness and effectiveness for our community. Through this process, a ""Five-Part Framework for Our Community Energy Profile"" was crafted identifying guidelines to inform planning and programs. Further detailed recommendations were formulated into a set of ""Framework Action Strategies"", which represent opportunities for win-win efforts that can contribute to community well-being in economic, health and environmental terms. The recommendations of the LCAPP Steering Committee are a guide for the City, County and University of Virginia to utilize in pursuing their own Action Plans to establish the scope and scale at which each entity is committed to engage.

The Charlottesville Better Business Challenge has formed a partnership between the Darden School of Business and students in an undergraduate Global Sustainability class with the Local Energy-efficiency Alliance Program (LEAP) among other non-profits to help small local businesses reduce their environmental impact.",http://www.virginia.edu/communityrelations/,"http://ien.arch.virginia.edu/  
http://im.dev.virginia.edu/wp/engagement/"
University of Winnipeg,2016-01-13,2016-01-13 14:36:59,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,True,"The University of Winnipeg Act, passed by the Manitoba legislature, provides the composition of the Senate and the Board of Regents.  Broad stakeholder engagement is present in both. http://web2.gov.mb.ca/laws/statutes/ccsm/u070e.php

There are 36 Regents in total; 10 appointed (2 of whom are students) upon the recommendation of the Minister of Advanced Education and Literacy, as well as the Chancellor, the President, a senior academic administrator, 10 members appointed by the General Council of the United Church of Canada, (2 of whom are students), 3 members elected by the graduates of the University, 4 members elected by the Senate of the University, and 3 members elected or appointed by the University of Winnipeg Students' Association (UWSA), the UWSA president, and 2 members elected by the support staff. Both the United Church and the Provincial appointees are chosen from the community at large.  

The Provincial Government invites all Manitobans to consider submitting an application or nomination to serve on an Agency, Board or Commission.  More details on becoming a Provincial appointee can be found here:  http://www.gov.mb.ca/government/abc/index.html

The University of Winnipeg Community Renewal Corporation (“UWCRC”) is a not-for-profit charitable corporation, created to support the University by developing a sustainable University community. Half of its 16 member Board is drawn from the University community, including the President, who serves as chair. The other half is drawn from the community, including neighbourhood organizations, developers and development professionals.  UWCRC is a non-share capital, charitable corporation whose mandate is to support the University of Winnipeg by developing a sustainable University community. Its members are those persons appointed or elected from time to time as the Directors of the corporation. The University’s intention to create UWCRC as its development arm is reflected in a resolution of the University Board of Regents.   UWCRC’s by law provides that the Directors shall be the President of The University of Winnipeg, seven persons appointed by the President (in consultation with the University’s Board Chair), and 8 other persons elected out of “community organizations, the business and professional community, and the community at large”.   The 8 community representatives are elected each year at the annual general meeting.  A Board nominating committee recommends a slate of candidates for consideration by the members and an election is held.  The 7 Presidential appointments must include a representative from the Board of Regents, a representative from the University of Winnipeg Foundation Board, a senior administrator or faculty member, and a representative appointed by the University of Winnipeg Students' Association.  The University of Winnipeg Development Plan (2007) outlines clear development principles and priorities, and was developed with extensive external and internal stakeholder engagement:  http://www.uwinnipeg.ca/faculty/admin/pdfs/uofw-dev-plan-2007.pdf","The University of Winnipeg’s Board of Regents approved the creation of an Indigenous Advisory Circle to ensure the inclusion of Indigenous Peoples’ perspectives in the governance of the University. The Indigenous Advisory Circle meetings are held three times annually and the Circle advises the President and Vice-Chancellor, the Associate Vice-President Indigenous, Government and Community Affairs, Senior Administrators, and the University community. The Advisory Circle’s membership represents urban, rural and northern Indigenous peoples in Canada as well as other international Indigenous communities. Members have expertise and experience in a range of areas, but particularly in education and development.

The University's Community Learning Policy provides an institutional framework for the management and support of community learning activities, with a view to increase access to and participation in post-secondary education for those who are traditionally underrepresented in the University population, with a focus on Indigenous people and new Canadians.  Community Learning refers to the active integration of the University into the social, cultural, and educational life of the community.

There are multiple student groups housed within the University of Winnipeg Students' Association (UWSA) who represent diverse student populations and interests.  Their interests are regularly represented to the University through the UWSA. 
","In 2012, the University launched a strategic review process and invited written submissions from the internal and external community.  Below is a list of individuals and groups internal and external to the University who provided written submissions.  This is a representative, but not exhaustive, example of the stakeholders engaged in University processes.

Faculty & Staff Submissions

•	Andrew Park
•	Faculty of Arts
•	Department of Geography
•	Centre for Teaching, Learning and Technology
•	Accessibility
•	Office of the VP Academic
•	Financial Services
•	Faculty of Education
•	Aboriginal Student Services
•	Modern Languages and Literatures
•	Department of Urban and Inner-City Studies
•	Department of Politics
•	Michael Emslie
•	Faculty of Science
•	Karen Keppler
•	Jill Small
•	Jane Barter Moulaison
•	Department of Religion and Culture
•	Joffrey Abainza
•	Media Services 
•	Department of English
•	Faculty o Graduate Studies 
•	Student Central 
•	University of Winnipeg Foundation
•	Awards & Financial Aid
•	Institute of Urban Studies
•	Masters’ in Marriage and Family Theraphy
•	University of Winnipeg Students’ Association  
•	International Students
•	Department of Philosophy
•	Department of Physics
•	University of Winnipeg Students’ Association ‘Student Living’
•	Campus Security
•	Library  
•	Campus Sustainability  
•	Department of Women’s and Gender Studies 
•	Doug Edge
•	Technology Solutions Centre
•	Prior Learning and Recognition
•	Professional, Applied, and Continuing Education
•	University of Winnipeg Collegiate
•	Enterprise Risk Management
•	Jim Clark
•	Student Submission on Sustainability
•	Experiential Learning Initiatives Network
•	Indigenous Education
•	Community Learning
•	History Students’ Association 
•	Sociology Student Society

External Submissions

•	Dakota Ojibway Tribal Council 
•	John M King 
•	India Association of Manitoba 
•	West Central Network
•	Ma Mawi
","A Presidential Search Committee was established in 2012 to serve in an advisory capacity to the Board Officers, whose role and responsibility was to select and recommend the next President and Vice-Chancellor to the Board of Regents.  The committee included representations from collective bargaining units, students, faculty, staff, and the Indigenous Advisory Circle.  http://www.uwinnipeg.ca/index/presidential-selection-committee.  The search process also included a number of university community consultations with various stakeholder groups.

In developing the Unviersity's new RecPlex, extensive consultations were held with external stakeholders to develop a framework for community access to the new facility.  A unique coalition of 18 youth-serving agencies – the Youth Agencies Alliance – offered input and advice as the new RecPlex took shape. http://www.uwinnipeg.ca/index/recplex-history",--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:58,fermanij@uwgb.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:35:21,knelson6@uwm.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:42:08,kermathb@uwosh.edu,2.0,Pursuing,True,"The University has quarterly meetings with the City of Oshkosh's departments of Community Development, Public Works, Transportation and Parks to review what each are currently working on or planning for the future. The University meets with the City to review their utilities infrastructure as well as any city codes, zoning or other considerations with any renovations or upgrades to the grounds or buildings. Most projects also go through the City's Plan Review process. Also, depending upon what item being dealt with a project may also go through a planned development review or a conditional use review process. All events which use City of Oshkosh streets by either blocking them or larger traffic impact are sent from the Dean of Students Office to the City for review and any necessary approvals.

In addition to these meetings the University as a UW System school performs environmental impact assessments (EIA) for the majority of our construction and remodeling projects with the involvement of the surrounding community. An initial Wisconsin Environmental Policy Act (WEPA) Evaluation is completed and a determination is made as to whether an EIA or an environmental impact statement (EIS) process is necessary to be completed.

Description: Evaluation form for the Wisconsin Environmental Policy Act (WEPA) and National Environmental Policy Act (NEPA) as it relates to proposed campus physical development. Includes 14 points of assessment related to environmental impacts and alternatives, archeological and historical sites, energy impacts, economic impacts, long-range plan and policy impacts, and precedents.

Purpose: Records preliminary investigation and evaluation of potential environmental impact significance and conditional determination of Type I/II/III action requirements.
","Education and governmental leaders regularly meet as a community sounding board. Opportunity for review and discussion on various issues.

The University is extensively involved in outreach community development and economic development discussions through the chamber of commerce and the economic development corporation. Many social service and nonprofit community-based organizations have significant levels of university involvement and entanglement.
","Girl Scouts of the Northwestern Great Lakes
​Lighted Schoolhouse after school program​
​Oshkosh YMCA​
​Oshkosh Area United Way​
​Day by Day Warming Shelter and the Oshkosh Area Community Pantry​
​Lutheran Homes of Oshkosh
​Oshkosh North High School​
​Oshkosh Area Community Pantry and Oshkosh Elementary Schools​
​Growing Oshkosh​
​Oshkosh Elementary Schools and local farms​
​Oshkosh Senior Center and Evergreen Retirement Home​
​World Relief​
​Oshkosh Area School Board Oshkosh City Council
Winnebago County Board​
​Christine Ann Domestic Abuse Center​
​Oshkosh Transit ​
​Wisconsin Farming and Rural Life Oral History Project​","The relationship between UW Oshkosh and the surrounding community has opened up new doorways for both the campus and the city. Students from all academic disciplines volunteer throughout the city at area schools, non-profits, and businesses. Community members are welcome to join in on all University events including sports, speakers, and open forums. The surrounding community partners with the University each year for events such as the Shamrock Shuffle, a 5K Run/Walk for proceeds benefiting United Way and multicultural initiatives on campus.The Nursing program operates a free clinic for Oshkosh citizens.

The Board of Visitors for the College of Nursing is a group of healthcare professionals that serve as a liaison between the college and the healthcare industry employers. They keep both groups informed about the needs of the field so that the college knows how to prepare those going into the nursing field and where there are needs from employers of nurses.",--,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:15,seebotha@uwplatt.edu,2.0,Pursuing,True,"UW-Platteville Campus Planning Office includes community stakeholders in all major projects that effect the broader community, including planning, capital investment, and development efforts. The specific stakeholders will vary by project but typically include educational partners, the City, private sector, and government bodies.

Additionally, the Chancellor and his key staff meet with the City Council quarterly to coordinate efforts and develop future plans.

Finally, many UW-Platteville departments and program areas have an Advisory Board made of public and private stakeholders  which help inform their individual directions and decisions.","Again, this depends upon each project, but in most instances, any significant campus planning effort includes a series of stakeholder meetings which align with topic areas and initiatives. All meetings are made public and invitations are sent widely to capture the greatest audience possible. Meetings for major planning efforts are typically held in evenings and food is provided so that the environment is inclusive and accommodating to vulnerable and underrepresented groups.","Platteville School District
Southwest Wisconsin Technical College
City of Platteville staff & leadership
City of Platteville residents
Southwestern Wisconsin Regional Planning Commission
Platteville Regional Chamber of Commerce
Platteville Main Street Program
Platteville Business Incubator
Prosperity Southwest Wisconsin",,--,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:02:04,sjanowsk@uwsp.edu,2.0,Pursuing,--,,,,,--,"Currently UWSP has not  adopted a set framework for community stakeholder engagement in governance, strategy and operations. This is not to say that some departments work in conjunction with community stake holders. 

Although Continuing Education does not have a stakeholder engagement plan, we maintain communications with stakeholders in a variety of ways, depending on the stakeholder group. Some examples…
•	The Learning Is Forever (LIFE) program is a member-based program with a board of directors that assess needs and plans educational programs. Two CE staff participate on the board
•	Conference services work with conference committees from the sponsoring organizations
•	School districts are visited periodically to assess the needs and learning directions they are pursuing, and the programs we offer to their teachers are adapted to the district’s needs
•	Professionals in the field are consulted on an as needed basis to provide insights and directions for our offerings to non-traditional learners in those professions
•	Employers are involved with appropriate types of programs for their specific types of needs

The CPS has several formal external stakeholder groups (below).  
•	Business Advisory Council, consists of CEO’s/upper managers of large businesses in the region with representation from each of the major industries.  This group provides support and advice to our School of Business and Economics.
•	Corporate Partners, consists of upper managers and HR directors of many small to mid-size businesses.  Participation on this group is open to any business who has an interest in our School of Business and Economics.   
•	Clinical Lab Sciences advisory board. Consists of CLS clinicians from throughout Wisconsin that represent our clinical affiliates. This group provides support and advice to our CLS program.
•	Health Sciences Advisory Committee, consists of health care professionals from the region. This group provides advice and support to our health care professional programs.  
•	Dietetics Advisory Board,  consists of regional health care and public health officials.  This group provides advice and support to our Community Nutrition and Dietetics programs.  
•	North Central Wisconsin Higher Education Association (NCWHEA) Nursing Workgroup. Consists of program directors and advisors of 2 year and technical colleges in the region.  This group provides support and advice on our nursing completion program. 
•	PK-18 Council, a group of educators and education leaders from the region who provide support and advice to our School of education. 

"
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:49:34,rykals@uwstout.edu,2.0,Pursuing,True,"Community stakeholders are involved in the Stakeholder visioning session, held once every 5 years as part of the development of a new strategic plan.  In small groups, they are asked to provide ideas for what Stout might look like in the next 5-7 years.  Community stakeholders are also included in various Stout committees and advisory boards.  UW-Stout faculty/staff also have membership on various community committees, organizations, and boards. ",Examples would include the Institutional Review Board (IRB) and program advisory committees.,"Timm Boettcher, President of Realityworks, Inc.; 
Dwight Davis, Chairman of the Board of Greenheck Fan Corporation;
Jeff DeGrange, Vice President of Direct Digital Mfg	of Stratasys; Jim Fay, Menomonie Plant Manager of 3M;
Tom Hanley, Principal of Design of BWBR Architects, Inc.; Web Hart, Partner of Herrick & Hart, S.C;
Michael Hunter, Vice President, of Manufacturing & Corporate Operations; 
Mark Kehne, Production Manager of Cardinal Glass Industries; 
Matt Jennings, President and CEO of Phillips-Medisize Corporation; 
Mary Jurmain, Chairman of the Board of	Realityworks, Inc.; 
Bill Otto, Executive Vice-President and CFO of Kalahari Resort; 
Joe Pregont, President of Prent Corporation;
Katie Pretzel, Senior Campus Recruiter/HR-Talent Acquistion	Target Corporation; 
Brian Sabart, Senior Applications Engineer of Stratasys; 
Dan Schmitz, CEO of Northern Engraving; 
Hank Simpson of M.D. MCHS Menomonie; 
Brad Slaker, CEO of DesignWise Medical; 
Doug Stetzer, Chief Scientist of Kent Precision Foods Group; 
Jeff Stevens, Plant Manager of	ConAgra; 
Clay Thiele, Brazing Engineering Manager of Chart Energy; 
Don Thomas, Principal of design of BWBR Architects, Inc.;
Mark Tyler, Founder of OEM Fabricators, Inc.; 
David Voss, President of	Miron Construction; and 
Craig Yolitz, Vice President, Operations and Account ManagementFindLaw, a Thomson Reuters Business
",,--,*Information obtained through the Vice Chancellor's Office. 
University of the Pacific,2016-03-23,2016-03-23 15:39:41,seller@pacific.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Vanderbilt University,2016-03-21,2016-03-21 10:46:22,andrea.george@vanderbilt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Vassar College,2016-03-10,2016-03-10 19:47:38,alihall@vassar.edu,2.0,In Progress,--,--,--,--,--,--,"Vassar does not have a formal adopted framework for community stakeholder engagement though strives to be a good neighbor and regularly works with the Arlington Business Improvement District, the Chamber of Commerce, and Town of Poughkeepsie Departments to maintain a good community relationship. "
Villanova University,2016-03-21,2016-03-21 13:11:42,liesel.schwarz@villanova.edu,2.0,In Progress,--,--,--,--,--,--,--
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:23,eestanforth@vcu.edu,2.0,Pursuing,True,"VCU's Division of Community Engagement (DCE) is a unit under the Office of the Provost. The Vice Provost for Community Engagement is on the provost's leadership team. In this role, Dr. Cathy Howard carries forward the mission of community engagement to her counterparts in academic and faculty affairs, student affairs and other units. Through DCE initiatives such as service learning, ASPiRE and Neighborhood Outreach, the university serves as a bridge that mobilizes university-community partnerships.
Under the DCE, Neighborhood Outreach works to build and strengthen relationships with the external community, specifically the five neighborhoods that surround VCU. The neighborhood outreach director meets regularly with a team of liaisons from the surrounding communities to discuss issues of common concern and to develop programs/events that enable students, staff/faculty and residents to work collaboratively to address community-identified needs.
The vice provost and neighborhood outreach director are consulted on issues that affect the community, including capital projects. Often, these issues require the university to meet with individuals and groups from the community. While this is not systematically implemented as a policy, it has become a part of the culture of the institution.
Annually, Dr. Michael Rao and other university leaders meet with community leaders to share VCU's developments over the past year and gather feedback from the community. VCU's report typically includes a brief State of the University, a capital plan progress report and a public safety report. The DCE follows up with community members and groups on any issues that may require further communication.","The Division of Community Engagement created the Neighborhood Team to discuss community issues and share information among units. The group, which includes VCU Police, Student Affairs, Fraternity & Sorority Life, Office of Student Conduct & Academic Integrity, and Residential Life & Housing, meets quarterly. Community members identified as neighborhood liaisons participate in two of the four meetings.
VCU Police created a position specifically to build relationships with community members and help address issues involving university students who live near VCU. The external affairs officer attends several neighborhood association meetings, provides updates and takes student-related complaints. He follows up with students, landlords and the community at subsequent meetings.","Neighborhood associations near VCU, including: Carver, Jackson Ward, The Fan, Randolph, Oregon Hill and Church Hill

Carver Area Civic Improvement League
The Fan District Association 
Historic Jackson Ward Association Oregon Hill Neighborhood Association 
Randolph Neighborhood Association
Boys & Girls Clubs of Metro Richmond
YMCA of Greater Richmond
Art 180
Hanover Positive Action Club
Hanover Youth Leadership Council
Higher Achievement
Mayor's Youth Academy
Richmond Behavioral Health Authority
Richmond Department of Parks and Recreation
Police Athletic League
Richmond Public Schools - Carver Elementary
Middle School Renaissance 2020
Richmond Redevelopment Housing Authority
St. Andrew's School
10,000 Villages
A Grace Place
Boaz and Ruth
Bradley Free Clinic
Camp Diva
Capital One Boys and Girls Club
CARITAS 
Carver Promise
CBS 6
Center for High Blood Pressure
Central VA Waste Management Authority
Central Virginia Asthma Coalition
Charlottesville Free Clinic
Chesapeake Care Free Clinic 
Chester House- Chesterfield County Community  Services Board
Chesterfield County Public Schools: Cosby High School
Chesterfield County Public Schools: Hopkins Elementary School
Chesterfield Health District
Chimborazo Elementary School
Circle Center Adult Day Services
Clover Hill High School
Communities In Schools of Richmond 
Community Dental Clinic
Community Kitchen Garden, Lewis Ginter Botanical Garden
Continental Societies of Richmond
Craniofacial Clinic
Cross Over Ministries Clinic
CrossOver Ministry Dental Clinic
Daily Planet 
Dental Medicine
District One Probation and Parole Office
East End Cemetery
F.I.R.S.T. Contractors
Family Lifeline
Fan Free Clinic
Federal Correctional Complex Petersburg
FeedMore
Free Clinic of Central Virginia
Free Clinic of Central Virginia- Lynchburg
Friends Association for Children
Friends of James River Park
Gateway Homes, Inc.
Goochland Free Clinic
Goochland Free Clinic and Family Services
Hands Up Ministry
Hanover County School Health Services
Hanover Interfaith Free Clinics at Mechanicsville Christian Center
Hanover Safe Place
Health and Wellness Initiative
Higher Achievement 
Highland Spring Support Project
Highland Support Project
Home Again
Hopewell High School
James River Park System
Lobs & Lessons
Lucy Corr Village
Mary and Frances Youth Center
Master Gardeners (Chesterfield County chapter)
Master Naturalists (Pocahontas Chapter)
Maymont Park
Maymont Park Foundation
MCV Child Care Center
Metro Cash
Micah Initiative 
Minority Health Consortium
Mosby Tenant Association
Neighbor-To-Neighbor Initiative
Neighborhood Resource Center
Northern Neck Free Health Clinic
Northminster Church  
Offender Aid and Restoration
Open Door Resource Center
Park Place Dental Clinic
Park Place Health and Dental Clinic
Partnership for Families Northside
PATHS Community Dental Center
Paul Manning and the City of Richmond Mayor's Office
Peter Paul Development Center
Pfizer Consumer Healthcare, Inc., Native Bee Garden
Powhatan High School
Prince George High School
ReStore Habitat for Humanity
Richmond ARC
Richmond City Health District
Richmond City Jail
Richmond City Public Schools: Binford Middle School
Richmond City Public Schools: John Marshall High School
Richmond City Public Schools: Richmond Community High School
Richmond City Sheriff's Office
Richmond Memorial Foundation
Richmond Peace Education Center
Richmond Promise Neighborhood
Richmond Public Schools: Binford Middle School
Richmond Redvelopment and Housing Authority (RRHA)
Richmond Sister Cities Commission
ROOTS: Reinventing Ourselves Outside the System
RRHA
S.A.V.E.S. & M.A.V. (student organizations at VCU through the VCU Sexual Assault and Domestic Violence Services)
Sacred Heart Center
Salvation Army Boys and Girls Club
School of Nursing
Shalom Farms
Sinomlando, University of KwaZulu Natal South Africa
Southwest Virginia Regional Dental Center
Special Olympics Virginia
Sportable
St. Andrew's Schools
Stuff Redux
The Daily Planet Healthcare Center-Medical Respite Facility
The Healing Place
The James House
The Mill House
The Virginia Home
United Methodist Family Services
US Fish and Wildlife Service
VA Cooperative Extension
VA Department of Conservation and Recreation
VA Department of Game and Inland Fisheries
Varina High School
VCU Art of Nursing
VCU Child Development Center
VCU Wellness Resource Center
Virginia Department of Emergency Management
Virginia Friends of Mali
VMFA
Westminster Cantebury
Woodville Elementary School
YWCA of Greater Richmond
",,http://community.vcu.edu/,--
Warren Wilson College,2016-03-21,2016-03-21 15:30:15,aclimo@warren-wilson.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
